Date,Username,Tweet,Label
2023-12-09 22:52:33+00:00,kumparan,program prioritas kemenag sosialisasi media moderasi agama mandiri pesantren cyber islamic university religion index publisherstory manadobacirita,0
2023-12-04 03:31:55+00:00,kua_kita,capai program prioritas kemenag menag yaqut cholil qoumas canang program prioritas dituntaskanpenguatan moderasi beragamatransformasi digitalrevitalisasi kuakemandirian pesantrencyber islamic universityreligiosity indextahun rukun umat agama,0
2023-11-16 10:57:35+00:00,erakinimedia,kemenag ri terobos buka universitas islam siber cyber islamic university bantu guru daerah sulit akses kuliah,0
2023-07-30 05:03:34+00:00,nu_online,iain syekh nurjati spilot project siap cyber islamic university mengunakan ajar jarak pjj pai,0
2023-07-20 02:01:36+00:00,cyberuniv_id,happy islamic new year  cyberian segenap civitas akademika cyber university selamat islam muharram hijriah cyber university the new generation cyberuniv cyberuniversity briinstitute tahunbaruislam muharram muharram,0
2022-10-18 12:27:17+00:00,ImamKusninAhmad,gus yaqut sinergi korsel jembatan maju cyber islamic university,0
2022-10-18 06:57:00+00:00,PendisKemenag,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-18 04:52:12+00:00,aksesdisini_com,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-18 04:45:58+00:00,goseolcom,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-18 02:04:57+00:00,klikwarta_com,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-17 23:56:15+00:00,minanews_net,menag sinergi korsel jembatan maju cyber islamic university,0
2022-10-17 23:30:00+00:00,idx_channel,menag gandeng korsel kembang cyber islamic university indonesia,0
2022-10-17 22:23:55+00:00,mbsnews_id,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-17 21:47:07+00:00,mbsnewsid,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-17 11:34:52+00:00,Pasjabar1,kemenag kerjasama cyber hankuk of foreign studies jembatan maju cyber islamic university,0
2022-10-17 10:48:28+00:00,rakyatmerdeka,menag duet bareng korsel jembatan maju cyber islamic university,0
2022-10-17 10:42:51+00:00,kangandribdg,kemenag kerjasama cyber hankuk of foreign studies jembatan maju cyber islamic university,0
2022-10-17 10:36:32+00:00,amrudinnejad_,santri indonesia dunia  sinergi korsel menag jembatan maju cyber islamic university gusmen gusyaqut,0
2022-10-17 10:27:06+00:00,_rakyatmerdeka,menag duet bareng korsel jembatan maju cyber islamic university,0
2022-10-17 08:59:31+00:00,onnewscom,bangun jembatan maju cyber islamic university menag sinergi korsel,0
2022-10-17 08:30:32+00:00,madaninews_id,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-17 08:27:36+00:00,HendrikSugara2,sinergi korsel menag jembatan maju cyber islamic university,0
2022-10-17 07:45:39+00:00,medcom_id,maju cyber islamic university kemenag sinergi korsel,0
2022-04-25 03:27:56+00:00,JancokWis,kemenag bpkh dukung penuh program prioritas kemenag transformasi digital cyber islamic university mandiri pesantren revitalisasi plhut tingkat religiosity index,0
2022-04-25 03:08:45+00:00,KakakTuaNakal,khusus dgn kemenag bpkh dukung penuh program prioritas kemenag transformasi digital cyber islamic university mandiri pesantren revitalisasi plhut tingkat religiosity index biaya haji,0
2022-04-25 03:02:05+00:00,yeributkuy,program prioritas kemenag transformasi digital cyber islamic university mandiri pesantren revitalisasi plhut tingkat religiosity index biaya haji,0
2022-04-25 03:00:21+00:00,MamiaDoang,hasil bpkh dlm kelola biaya haji bpkh percaya kelola program prioritas kemenag transformasi digital cyber islamic university mandiri pesantren revitalisasi plhut tingkat religiosity index,1
2022-03-05 10:08:42+00:00,aswajanews_id,menag target program mandiri pesantren cyber islamic university capai tahun,0
2022-03-03 06:07:06+00:00,kuasakatacom,menag target program mandiri pesantren cyber islamic university capai,0
2022-03-03 00:43:13+00:00,PPesantren,menag target program mandiri pesantren cyber islamic university capai,0
2022-03-02 14:04:23+00:00,medcom_id,menag target cyber islamic university capai,0
2022-03-02 07:44:12+00:00,PendisKemenag,menag target program mandiri pesantren cyber islamic university capai,0
2022-03-02 04:35:45+00:00,goseolcom,menag target program mandiri pesantren cyber islamic university capai tahun,0
2022-03-02 00:18:06+00:00,ngopibareng_id,target program mandiri pesantren cyber islamic university,0
